id,category,subtype,korean_source,analytic_sentence,native_v2_1_sentence,design_notes
P4-NAR-028,narrative,emotion,좋았다,나 느-좋-닌-온.,나 느좋닌온.,EXP(나). stimulus implicit
P4-NAR-029,narrative,contrast,그림자는 갔지만 파도는 있었다,ㅿ울 머-가-칼-칼라 ㅸ올 느-있-닌-온.,ㅿ울 머가칼칼라 ㅸ올 느있닌온.,CONTR. -칼-칼라: 융합없음
P4-NAR-030,narrative,closing,나는 산다,나 느-살-닌-온.,나 느살닌온.,"서사 종결. 살-=stative, -닌- 필수"
P4-DLG-001,dialogue,wh-q,오늘 어디에 가느냐,[가] 오늘 어디-레 느-가-연.,오늘 어디레 느가연.,대화 시작. 어디=where(신규). -레=ALL. WH.Q
P4-DLG-002,dialogue,answer,밖에 간다,[나] 나 밖-레 느-가-온.,나 밖레 느가온.,답변. 밖-레=ALL
P4-DLG-003,dialogue,description,파도가 크다,[가] ㅸ올 느-크-닌-온.,ㅸ올 느크닌온.,정보 제공
P4-DLG-004,dialogue,yn-modal,갈 수 있느냐,[가] 너 느-달-가-언.,너 느달가언.,ABIL + Y/N.Q
P4-DLG-005,dialogue,affirm,갈 수 있다,[나] 느-달-가-온.,느달가온.,pro-drop(나 implicit)
P4-DLG-006,dialogue,contrast,파도가 크지만 간다,[나] ㅸ올 느-크-닌-칼라 나 느-가-온.,ㅸ올 느크닌칼라 나 느가온.,CONTR
P4-DLG-007,dialogue,cond-neg-yn,비가 오면 안 가느냐,[가] 비 차-오-살 가-아 느-몰-언.,비 차오살 가아 느몰언.,FUT+COND + NEG + Y/N.Q
P4-DLG-008,dialogue,cond-neg,비가 오면 안 간다,[나] 비 차-오-살 나 가-아 느-몰-온.,비 차오살 나 가아 느몰온.,COND + NEG
P4-DLG-009,dialogue,hearsay,어제 비가 왔다더라,[가] 어제 비 머-오-칼-온=맬.,어제 비 머오칸맬.,어제=yesterday(신규). hearsay =맬. PST+TEL
P4-DLG-010,dialogue,affirm-know,그것은 안다,[나] 나 그것 느-알-닌-온.,나 그것 느알닌온.,experiencer stative
P4-DLG-011,dialogue,rsn-standalone,봤으니까,[나] 머-보-칼-논테.,머보칼논테.,standalone reason. pro-drop. -칼-논테: 융합없음
P4-DLG-012,dialogue,yn-pst,그림자를 봤느냐,[가] ㅿ울 머-보-칼-언.,ㅿ울 머보칼언.,Y/N.Q + PST+TEL. -칼-언: Q→융합없음
P4-DLG-013,dialogue,affirm-pst,보았다,[나] 머-보-칼-온.,머보칸.,pro-drop. -칼-온→칸 융합
P4-DLG-014,dialogue,description,그림자가 크다,[나] ㅿ울 느-크-닌-온.,ㅿ울 느크닌온.,추가 정보
P4-DLG-015,dialogue,yn-emotion,두렵냐,[가] 너 느-두렵-닌-언.,너 느두렵닌언.,Y/N.Q + experiencer stative
P4-DLG-016,dialogue,neg-emotion,두렵지 않다,[나] 두렵-아 느-몰-닌-온.,두렵아 느몰닌온.,NEG stative. pro-drop
P4-DLG-017,dialogue,rel-yn,가는 사람이 있느냐,[가] [느-가-마] 사람 느-있-닌-언.,느가마 사람 느있닌언.,REL + Y/N.Q
P4-DLG-018,dialogue,exist-neg,가는 사람이 없다,[나] [느-가-마] 사람=복.,느가마 사람복.,REL + EXIST.NEG(복). 관계절+존재부정 결합
P4-DLG-019,dialogue,imp-eat,먹어라,[가] 먹-라.,먹라.,긍정 명령. ROOT-라. preverb 없음
P4-DLG-020,dialogue,seq-imp,먹고 가라,[가] 먹-탄 가-라.,먹탄 가라.,SEQ + IMP. 비종결형(먹-탄)+종결형(가-라)
P4-DLG-021,dialogue,seq-decl,먹고 간다,[나] 나-악 밥 느-먹-탄 느-가-온.,나악 밥 느먹탄 느가온.,"SEQ. A(ERG,먹-)→S(ABS,가-) pivot"
P4-DLG-022,dialogue,cond-imp,비가 오면 와라,[가] 비 느-오-살 오-라.,비 느오살 오라.,COND + IMP
P4-DLG-023,dialogue,cond-decl,비가 오면 온다,[나] 비 느-오-살 느-오-온.,비 느오살 느오온.,COND + DECL 응답
P4-DLG-024,dialogue,cond-emotion,오면 좋다,[가] 차-오-살 나 느-좋-닌-온.,차오살 나 느좋닌온.,FUT+COND + experiencer. pro-drop(너)
P4-DLG-025,dialogue,fut,올 것이다,[나] 차-오-온.,차오온.,FUT. pro-drop
P4-DLG-026,dialogue,wh-pst,무엇을 보았느냐,[가] 너 무엇 머-보-칼-연.,너 무엇 머보칼연.,무엇=what(신규). WH.Q+PST. -칼-연: Q→융합없음
P4-DLG-027,dialogue,rel-answer,파도에 있는 그림자를 보았다,[나] [ㅸ올-테 느-있-닌-마] ㅿ울 머-보-칼-온.,ㅸ올테 느있닌마 ㅿ울 머보칸.,REL(S gap) + PST. 답변에서 관계절 사용
P4-DLG-028,dialogue,yn-fear,그림자가 두렵냐,[가] 너 ㅿ울 느-두렵-닌-언.,너 ㅿ울 느두렵닌언.,EXP(너)>STIM(ㅿ울). Y/N.Q
P4-DLG-029,dialogue,neg-now,이제 두렵지 않다,[나] 이제 두렵-아 느-몰-닌-온.,이제 두렵아 느몰닌온.,이제=now(신규). NEG stative
P4-DLG-030,dialogue,wh-neg,왜 두렵지 않느냐,[가] 왜 두렵-아 느-몰-닌-연.,왜 두렵아 느몰닌연.,왜=why(신규). WH.Q + NEG
P4-DLG-031,dialogue,quot-rsn,그림자가 '두려워 마라'고 말했으니까,[나] ㅿ울 [두렵-아 말-라]=락 머-말-칼-논테.,ㅿ울 두렵아 말라락 머말칼논테.,QUOT + RSN standalone. 말-=자동. -칼-논테: 융합없음
P4-DLG-032,dialogue,yn-surprise,그림자가 말하느냐,[가] ㅿ울 느-말-언.,ㅿ울 느말언.,Y/N.Q. 말-=자동
P4-DLG-033,dialogue,loc-answer,꿈에서 말한다,[나] ㆍ름-테 느-말-온.,ㆍ름테 느말온.,독자음소 ㆍ름. pro-drop(ㅿ울 implicit)
P5-SUP-001,supplement,fut-basic,나는 갈 것이다,나 차-가-온.,나 차가온.,FUT 단독. 차-=FUT
P5-SUP-002,supplement,fut-ipfv,비가 올 것이다,비 차-오-리-온.,비 차오련.,FUT+IPFV. -리-온→련 융합
P5-SUP-003,supplement,fut-tel,그가 다 먹을 것이다,그-악 밥 차-먹-칼-온.,그악 밥 차먹칸.,FUT+TEL. -칼-온→칸 융합
P5-SUP-004,supplement,hab-basic,나는 늘 밥을 먹는다,나-악 밥 느-먹-논-온.,나악 밥 느먹논.,HAB 단독. -논-온→논 융합
P5-SUP-005,supplement,hab-contr,늘 가지만 오늘 안 간다,나 느-가-논-칼라 오늘 가-아 느-몰-온.,나 느가논칼라 오늘 가아 느몰온.,HAB + CONTR. -논-칼라: 융합없음
P5-SUP-006,supplement,int-basic,나는 씻는다,나 느-씻-루-온.,나 느씻룬.,INT(-루-) 첫 코퍼스 사용. 씻-=listed INT verb. -루-온→룬 융합
P5-SUP-007,supplement,int-pst,나는 씻었다,나 머-씻-루-온.,나 머씻룬.,INT + PST. -루-온→룬 융합
P5-SUP-008,supplement,purpose-basic,먹으러 집에 간다,나 [느-먹-모]-레 집-레 느-가-온.,나 느먹모레 집레 느가온.,목적절: COMP(-모)+ALL(-레). 잠정 전략 첫 검증
P5-SUP-009,supplement,purpose-give,밥을 주러 집에 간다,나-악 밥 [느-주-모]-레 집-레 느-가-온.,나악 밥 느주모레 집레 느가온.,목적절 + 타동. recipient implicit
P5-SUP-010,supplement,time-basic,비가 올 때 집에 있는다,나 [비 느-오-마] 때 집-테 느-있-닌-온.,나 비 느오마 때 집테 느있닌온.,"시간절: ADN(-마)+때(time,신규). 잠정 전략 첫 검증"
P5-SUP-011,supplement,time-pst,먹었을 때 그가 왔다,나-악 [머-먹-칼-마] 때 그 머-오-칼-온.,나악 머먹칼마 때 그 머오칸.,시간절 + PST. 다른 주어. -칼-마: 융합없음
P5-SUP-012,supplement,cmp-cond,네보다 크면 좋다,나 너-테 느-크-닌-살 느-좋-닌-온.,나 너테 느크닌살 느좋닌온.,비교(-테) + 조건(-살). 복합 subordination
P5-SUP-013,supplement,cmp-rel,나보다 큰 사람이 왔다,[나-테 느-크-닌-마] 사람 머-오-칼-온.,나테 느크닌마 사람 머오칸.,비교(-테) in 관계절. S gap: 사람=S of 크-
P5-SUP-014,supplement,fut-wh,무엇을 먹을 것이냐,너-악 무엇 차-먹-칼-연.,너악 무엇 차먹칼연.,FUT + WH.Q. -칼-연: Q→융합없음
P5-SUP-015,supplement,pst-yn,그가 밥을 먹었느냐,그-악 밥 머-먹-칼-언.,그악 밥 머먹칼언.,PST + Y/N.Q. -칼-언: Q→융합없음
P5-SUP-016,supplement,new-verb-open,내가 그것을 열었다,나-악 그것 머-열-칼-온.,나악 그것 머열칸.,"열-=open(타동,신규). A=ERG, O=ABS"
P5-SUP-017,supplement,rel-open,내가 연 문이 크다,[나-악 머-열-칼-마] 문 느-크-닌-온.,나악 머열칼마 문 느크닌온.,O gap(문=ABS of 열-). -칼-마: 융합없음. 문=door(신규)
P5-SUP-018,supplement,imp-trans,문을 열어라,문 열-라.,문 열라.,타동 명령. addressee(A)=implicit. 문=ABS(theme). preverb 없음
P5-SUP-019,supplement,obl-basic,나는 가야 한다,나 느-바-가-온.,나 느바가온.,OBL(바-) 단독. 나=S(ABS)
P6-QF-001,q-fusion,ipfv-yn,가고 있느냐,느-가-리-언.,느가리언.,의문형 융합 비적용 확정. -리-언=[리언] 그대로
P6-QF-002,q-fusion,tel-yn,가 버렸느냐,머-가-칼-언.,머가칼언.,-칼-언=[칼언]. 비융합 확정
P6-QF-003,q-fusion,tel-wh,누가 가 버렸느냐,누구 머-가-칼-연.,누구 머가칼연.,-칼-연=[칼연]. 비융합 확정
P6-QF-004,q-fusion,hab-yn,늘 가느냐,너 느-가-논-언.,너 느가논언.,-논-언=[논언]. 비융합 확정
P6-HORT-001,hortative,basic,가자,가-탄 너-온.,가탄 너온.,청유: ROOT-탄+너-(HORT)+온(DECL). 너-=신규 조동사
P6-HORT-002,hortative,eat,먹자,먹-탄 너-온.,먹탄 너온.,청유 타동. theme implicit
P6-HORT-003,hortative,neg,가지 말자,가-아 너-몰-온.,가아 너몰온.,청유 부정: CONNEG+HORT.NEG. 몰-이 너-를 대체
P6-HORT-004,hortative,with-obj,밥을 먹자,밥 먹-탄 너-온.,밥 먹탄 너온.,청유+ABS theme. ERG(우리) implicit
P6-COM-001,comitative,basic,나는 그 사람과 간다,나 그 사람-살라 느-가-온.,나 그 사람살라 느가온.,comitative -살라(COM) 첫 사용
P6-COM-002,comitative,pst,나는 아이와 밥을 먹었다,나-악 아이-살라 밥 머-먹-칼-온.,나악 아이살라 밥 머먹칸.,COM + ERG + ABS. 공동행위주
P6-COM-003,comitative,equal,나는 너와 같다,나 너-살라 느-같-닌-온.,나 너살라 느같닌온.,등가 구문: -살라(COM)로 -테 다의성 해소. 같-=stative
P6-COM-004,comitative,cond,그 사람과 가면 좋다,나 그 사람-살라 느-가-살 느-좋-닌-온.,나 그 사람살라 느가살 느좋닌온.,COM + COND
P6-COP-001,copula,basic-affirm,나는 사람이다,나 사람 느-닐-닌-온.,나 사람 느닐닌온.,"copula 닐-(identity). stative, -닌- 필수. 두 NP=ABS"
P6-COP-002,copula,basic-neg,나는 파도가 아니다,나 ㅸ올 닐-아 느-몰-닌-온.,나 ㅸ올 닐아 느몰닌온.,copula 부정: CONNEG+NEG.AUX. 독자음소
P6-COP-003,copula,yn,그것은 그림자이냐,그것 ㅿ울 느-닐-닌-언.,그것 ㅿ울 느닐닌언.,copula + Y/N.Q. 독자음소
P6-COP-004,copula,rel,선생인 사람이 왔다,[선생 느-닐-닌-마] 사람 머-오-칼-온.,선생 느닐닌마 사람 머오칸.,copula in 관계절. 선생=teacher(신규). S gap
P6-MIMP-001,modal-imp,obl-imp,가야 한다 — 가라,바-가-라.,바가라.,OBL+IMP 허용. 바-(OBL)+ROOT+라(IMP)
P6-MIMP-002,modal-imp,obl-imp-trans,문을 열어야 한다,문 바-열-라.,문 바열라.,OBL+IMP+타동. 문=ABS
P6-ADV-001,adverb,very,파도가 매우 크다,ㅸ올 놀 느-크-닌-온.,ㅸ올 놀 느크닌온.,놀=very(신규). 정도부사. 독자음소
P6-ADV-002,adverb,little,조금 두렵다,나 돋 느-두렵-닌-온.,나 돋 느두렵닌온.,돋=a little(신규). experiencer+정도부사
P6-ADV-003,adverb,again,다시 간다,나 되 느-가-온.,나 되 느가온.,되=again(신규)
P6-ADV-004,adverb,very-neg,매우 좋지 않다,나 그것 놀 좋-아 느-몰-닌-온.,나 그것 놀 좋아 느몰닌온.,정도부사+NEG
P6-VARI-001,variation,bok,물이 없다,물=복.,물복.,복: 자유변이 확정. 양성모음(ㅜ) 뒤에서도 복 허용
P6-VARI-002,variation,pok,물이 없다,물=폭.,물폭.,폭: 동일 의미. 자유변이. 화자 선호
P7-DRV-001,derivation,L1-pa,먹는 자가 왔다,먹파 머-오-칼-온.,먹파 머오칸.,1층 -파(PA). 먹파=eater. S=ABS
P7-DRV-002,derivation,L1-na,지식이 크다,알나 놀 느-크-닌-온.,알나 놀 느크닌온.,1층 -나(NA). 알나=knowledge
P7-DRV-003,derivation,L1-po,청자가 나이다,말포 나 느-닐-닌-온.,말포 나 느닐닌온.,1층 -포(PO). 말포=listener. copula 닐-
P7-DRV-004,derivation,L1-ton,학교에 간다,나 알돈-레 느-가-온.,나 알돈레 느가온.,1층 -돈(TON). 알돈=school. -레=ALL
P7-DRV-005,derivation,L1-pa-erg,교사가 가르친다,가르치파-악 아이-디 글 느-가르치-리-온.,가르치파악 아이디 글 느가르치련.,L1 파생+ERG. 가르치파=teacher
P7-DRV-006,derivation,L1-na-rel,보는 볼거리가 있다,[느-보-마] 보나 느-있-닌-온.,느보마 보나 느있닌온.,L1 파생+관계절. 보나=sight/spectacle
P7-DRV-007,derivation,L1-intr,삶이 좋다,나 살나 느-좋-닌-온.,나 살나 느좋닌온.,자동사 L1. 살나=life. EXP(나)>STIM(살나)
P7-DRV-008,derivation,L2-source,샘에 물이 있다,물ㅸ온-테 물 느-있-닌-온.,물ㅸ온테 물 느있닌온.,2층 단독. 물ㅸ온=spring/water source. -테=LOC
P7-DRV-009,derivation,L2-path,빛의 통로가 크다,빛ㅿ은 느-크-닌-온.,빛ㅿ은 느크닌온.,2층 단독. 빛ㅿ은=beam/light path
P7-DRV-010,derivation,L2-sink,나무의 열매가 있다,나무눌 느-있-닌-온.,나무눌 느있닌온.,2층 단독. 나무눌=fruit(tree's sink)
P7-DRV-011,derivation,L2-cycle,물의 순환이 크다,물ㆍ르 느-크-닌-온.,물ㆍ르 느크닌온.,2층 단독. 물ㆍ르=water cycle. 독자음소 ㆍ
P7-DRV-012,derivation,L2-pool,돌무더기가 있다,돌ㅸ앙 느-있-닌-온.,돌ㅸ앙 느있닌온.,2층 단독. 돌ㅸ앙=stone pile/accumulation
P7-DRV-013,derivation,L12-neutral,책을 보았다,나 알나ㅸ온 머-보-칼-온.,나 알나ㅸ온 머보칸.,L1+L2 무표. 알나ㅸ온=book(knowledge source)
P7-DRV-014,derivation,L12-active,강의 중인 교수가 가르친다,알나리ㅸ온-악 아이-디 글 느-가르치-리-온.,알나리ㅸ온악 아이디 글 느가르치련.,L1+ACTIVE+L2. 알나리ㅸ온=actively emitting knowledge source. -리-=ACTIVE flow mode
P7-DRV-015,derivation,L12-result,완결 논문을 보았다,나 알나칼ㅸ온 머-보-칼-온.,나 알나칼ㅸ온 머보칸.,L1+RESULT+L2. 알나칼ㅸ온=completed knowledge source. -칼-=RESULTATIVE
P7-DRV-016,derivation,L12-latent,미해독 고문서가 있다,알나닌ㅸ온 느-있-닌-온.,알나닌ㅸ온 느있닌온.,L1+LATENT+L2. 알나닌ㅸ온=latent knowledge source. -닌-=LATENT
P7-DRV-017,derivation,L12-active-pool,도서관에 간다,나 알나리ㅸ앙-레 느-가-온.,나 알나리ㅸ앙레 느가온.,L1+ACTIVE+L2. 알나리ㅸ앙=active knowledge pool=운영중 도서관. -레=ALL
P7-DRV-018,derivation,L12-latent-pool,폐관된 도서관이 있다,알나닌ㅸ앙 느-있-닌-온.,알나닌ㅸ앙 느있닌온.,L1+LATENT+L2. 알나닌ㅸ앙=latent knowledge pool=폐관 도서관
P7-DRV-019,derivation,L12-active-path,교육이 좋다,나 알나리ㅿ은 느-좋-닌-온.,나 알나리ㅿ은 느좋닌온.,L1+ACTIVE+L2. 알나리ㅿ은=active knowledge path=진행 중 교육
P7-DRV-020,derivation,L12-result-path,졸업이 좋았다,나 알나칼ㅿ은 느-좋-닌-온.,나 알나칼ㅿ은 느좋닌온.,L1+RESULT+L2. 알나칼ㅿ은=completed knowledge path=수료/졸업
P7-DRV-021,derivation,prim-active-pool,범람 중인 저수지에 간다,나 물리ㅸ앙-레 느-가-온.,나 물리ㅸ앙레 느가온.,원초명사+ACTIVE+L2. 물리ㅸ앙=actively filling water pool
P7-DRV-022,derivation,prim-latent-pool,마른 호수에 그림자가 있다,물닌ㅸ앙-테 ㅿ울 느-있-닌-온.,물닌ㅸ앙테 ㅿ울 느있닌온.,원초명사+LATENT+L2. 물닌ㅸ앙=dry lake. 독자음소 ㅿ울
P7-DRV-023,derivation,L12-in-rel,좋은 학교가 있다,[알나리ㅿ은 느-좋-닌-마] 알돈 느-있-닌-온.,알나리ㅿ은 느좋닌마 알돈 느있닌온.,파생명사 in 관계절. 교육(알나리ㅿ은)이 좋은 학교(알돈)
P7-DRV-024,derivation,L12-in-comp,교육이 좋은 것을 안다,나 [알나리ㅿ은 느-좋-닌-모] 느-알-닌-온.,나 알나리ㅿ은 느좋닌모 느알닌온.,파생명사 in 보문절
P7-DRV-025,derivation,L12-in-caus,교수가 아이에게 책을 보게 한다,알나리ㅸ온-악 아이-디 알나ㅸ온 느-보-모 느-둘-온.,알나리ㅸ온악 아이디 알나ㅸ온 느보모 느둘온.,L12 파생+사역. 알나리ㅸ온(=교수)=ERG. causee=아이-디(타동→FRC). 알나ㅸ온(=책)=ABS
P7-DRV-026,derivation,L12-active-cycle,현재 진행 중인 물의 순환이 크다,물리ㆍ르 놀 느-크-닌-온.,물리ㆍ르 놀 느크닌온.,원초명사+ACTIVE+CYCLE. 물리ㆍ르=active water cycle. 정도부사 놀
P7-DRV-027,derivation,L12-result-sink,다 익은 열매를 먹었다,나-악 나무칼눌 머-먹-칼-온.,나악 나무칼눌 머먹칸.,원초+RESULT+SINK. 나무칼눌=ripened fruit(완결된 나무의 귀착). A=ERG
P7-DRV-028,derivation,L12-latent-source,씨앗이 있다,나무닌ㅸ온 느-있-닌-온.,나무닌ㅸ온 느있닌온.,원초+LATENT+SOURCE. 나무닌ㅸ온=seed(잠재적 나무의 원천)
P7-DRV-029,derivation,L12-quot,'교육이 좋다'고 말했다,나 [알나리ㅿ은 느-좋-닌-온]=락 머-말-온.,나 알나리ㅿ은 느좋닌온락 머말온.,L12 파생 in 인용. 말-=자동
P7-DRV-030,derivation,L12-hort,책을 보자,알나ㅸ온 보-탄 너-온.,알나ㅸ온 보탄 너온.,L12 파생+청유. 보-탄 너-온=HORT
P8-LEX-001,lexicon,kinship,에미가 아이에게 밥을 준다,에미-악 아이-디 밥 느-주-온.,에미악 아이디 밥 느주온.,에미=mother(고어). A=ERG
P8-LEX-002,lexicon,kinship,에비가 아이와 간다,에비 아이-살라 느-가-온.,에비 아이살라 느가온.,에비=father(고어). COM -살라
P8-LEX-003,lexicon,number,사람이 셋 있다,사람 섬 느-있-닌-온.,사람 섬 느있닌온.,섬=3. 수사+존재
P8-LEX-004,lexicon,number,스물셋 날을 살았다,둘마섬 날 머-살-닌-온.,둘마섬 날 머살닌온.,둘마섬=23. 합성 수사+시간 명사
P8-LEX-005,lexicon,body,골이 아프다,나 골 느-아프-닌-온.,나 골 느아프닌온.,"골=head(고어). 아프-=hurt(신규,stative,-닌-필수). EXP>STIM"
P8-LEX-006,lexicon,body,피ㅿ은이 크다,피ㅿ은 느-크-닌-온.,피ㅿ은 느크닌온.,피ㅿ은=blood.PATH=혈관. L2 파생
P8-LEX-007,lexicon,nature,어름이 물이 되었다,어름 물 머-되-칼-온.,어름 물 머되칸.,어름=ice(중세). inchoative 되-
P8-LEX-008,lexicon,nature,안개가 있다,안개 느-있-닌-온.,안개 느있닌온.,안개=fog(순우리말 공유)
P8-LEX-009,lexicon,nature,나조에 해가 붉다,나조-테 해 느-붉-닌-온.,나조테 해 느붉닌온.,"나조=evening(중세). 붉-=red(stative,-닌-필수). 해=sun"
P8-LEX-010,lexicon,animal,괴가 물에 있다,괴 물-테 느-있-닌-온.,괴 물테 느있닌온.,"괴=fish(고어,ㅚ=/ø/)"
P8-LEX-011,lexicon,animal,즘생이 숲에 산다,즘생 숲-테 느-살-닌-온.,즘생 숲테 느살닌온.,즘생=beast(중세). 숲=forest
P8-LEX-012,lexicon,action,아이가 긋는다,아이-악 글 느-긋-리-온.,아이악 글 느긋련.,긋-=write(고어). 글=writing(기존 차용)
P8-LEX-013,lexicon,action,괴가 혐한다,괴 느-혐-리-온.,괴 느혐련.,혐-=swim(중세). 괴=fish. S=ABS
P8-LEX-014,lexicon,cognition,나는 너기지 않는다,나 너기-아 느-몰-온.,나 너기아 느몰온.,너기-=think(중세). NEG: conneg+몰-
P8-LEX-015,lexicon,cognition,너기고 말한다,나 느-너기-탄 느-말-온.,나 느너기탄 느말온.,너기-+SEQ+말-. 자동사 연결
P8-LEX-016,lexicon,time,내일 에미가 온다,내일 에미 느-오-온.,내일 에미 느오온.,내일=tomorrow(불투명 한자 차용)
P8-LEX-017,lexicon,time,나조에 밥을 먹고 잔다,나조-테 나-악 밥 느-먹-탄 느-자-온.,나조테 나악 밥 느먹탄 느자온.,나조=evening. SEQ. 자-=sleep
P8-LEX-018,lexicon,color,꽃이 보라이다,꽃 보라 느-닐-닌-온.,꽃 보라 느닐닌온.,보라=purple(순우리말). copula 닐-
P8-LEX-019,lexicon,color,하늘이 붉지만 바다가 푸르다,하늘 느-붉-닌-칼라 바다 느-푸르-닌-온.,하늘 느붉닌칼라 바다 느푸르닌온.,CONTR. 붉-/푸르- 색 상태동사
P8-LEX-020,lexicon,skin,갗이 마르면 아프다,갗 느-마르-살 나 느-아프-닌-온.,갗 느마르살 나 느아프닌온.,갗=skin(고어). COND+experiencer
P8-LEX-021,lexicon,fruit,열이 나무눌이다,열 나무눌 느-닐-닌-온.,열 나무눌 느닐닌온.,열=fruit(고어). 나무눌=tree.SINK. copula: 동의어 관계
P8-LEX-022,lexicon,deriv-context,긋파가 긋나ㅸ온을 보았다,긋파-악 긋나ㅸ온 머-보-칼-온.,긋파악 긋나ㅸ온 머보칸.,긋파=writer(write.PA). 긋나ㅸ온=book(write.NA.SOURCE). 파생 문맥
P8-LEX-023,lexicon,deriv-context,너기나가 크다,너기나 놀 느-크-닌-온.,너기나 놀 느크닌온.,너기나=thought(think.NA). 정도부사 놀
P8-LEX-024,lexicon,spatial,산 위에 구름이 있다,산 위-테 구름 느-있-닌-온.,산 위테 구름 느있닌온.,위=above. -테=LOC
P8-LEX-025,lexicon,spatial,강 안에 괴가 혐한다,강 안-테 괴 느-혐-리-온.,강 안테 괴 느혐련.,강=river. 안=inside. 괴=fish
P8-LEX-026,lexicon,dialogue,몇 사람이 있느냐,사람 어떻 느-있-닌-연.,사람 어떻 느있닌연.,어떻=how many/which(의문). WH.Q. 수량의문은 어떻으로 우회
P8-LEX-027,lexicon,dialogue,둘 있다,사람 둘 느-있-닌-온.,사람 둘 느있닌온.,수사 응답
P8-LEX-028,lexicon,complex,에미가 아이에게 '열을 먹어라'고 말했다,에미 [아이-디 열 먹-라]=락 머-말-온.,에미 아이디 열 먹라락 머말온.,인용+명령+고어어휘. 말-=자동
P8-LEX-029,lexicon,complex,나조에 별이 밝으니까 밖에 갔다,나조-테 별 느-밝-닌-논테 나 밖-레 머-가-칼-온.,나조테 별 느밝닌논테 나 밖레 머가칸.,RSN+시간+상태동사. 밝-=bright
P8-LEX-030,lexicon,complex,가볍지만 크다,이것 느-가볍-닌-칼라 느-크-닌-온.,이것 느가볍닌칼라 느크닌온.,"가볍-=light(wt,순우리말). CONTR. 상태동사 연결"
P9-PHR-001,phrasebook,greeting,안녕,안녕.,안녕.,인사. 한국어 공유 어근
P9-PHR-002,phrasebook,greeting-q,잘 지냈어?,잘 느-있-닌-언.,잘 느있닌언.,Y/N.Q. 있-=stative
P9-PHR-003,phrasebook,thanks,고맙다,느-고맙-닌-온.,느고맙닌온.,"고맙-=grateful(신규,stative). -닌- 필수"
P9-PHR-004,phrasebook,sorry,미안하다,느-미안-닌-온.,느미안닌온.,"미안-=sorry(불투명차용,stative). -닌- 필수"
P9-PHR-005,phrasebook,ok,괜찮다,느-괜찮-닌-온.,느괜찮닌온.,"괜찮-=fine(불투명차용,stative)"
P9-PHR-006,phrasebook,slow,천천히 말해줘,돋 말-라.,돋 말라.,돋=a little. 말-라=speak-IMP
P9-PHR-007,phrasebook,again-speak,다시 말해줘,되 말-라.,되 말라.,되=again. 말-라=speak-IMP
P9-PHR-008,phrasebook,what-is,이게 뭐야?,이 무엇 느-닐-닌-연.,이 무엇 느닐닌연.,copula 닐-. WH.Q
P9-PHR-009,phrasebook,understand,알겠어,느-알-닌-온.,느알닌온.,알-=know. -닌- 필수
P9-PHR-010,phrasebook,not-know,모르겠어,알-아 느-몰-닌-온.,알아 느몰닌온.,NEG+stative
P9-PHR-011,phrasebook,name-q,이름이 뭐야?,너 이름 무엇 느-닐-닌-연.,너 이름 무엇 느닐닌연.,이름=name(불투명). WH.Q+copula
P9-PHR-012,phrasebook,name-a,내 이름은 ___이다,나 이름=흔 ___ 느-닐-닌-온.,나 이름흔 ___ 느닐닌온.,TOP+copula
P9-PHR-013,phrasebook,where-from,너는 어디서 왔어?,너 어디-텐 머-오-칼-연.,너 어디텐 머오칼연.,ABL -텐 첫 사용! WH.Q. -칼-연: Q→비융합
P9-PHR-014,phrasebook,where-go,어디 가?,너 어디-레 느-가-연.,너 어디레 느가연.,ALL -레. WH.Q
P9-PHR-015,phrasebook,going,나 지금 간다,나 이제 느-가-온.,나 이제 느가온.,이제=now
P9-PHR-016,phrasebook,go-home,나 집에 간다,나 집-레 느-가-온.,나 집레 느가온.,집-레=ALL
P9-PHR-017,phrasebook,come-from,나 집에서 왔다,나 집-텐 머-오-칼-온.,나 집텐 머오칸.,ABL -텐. -칼-온→칸 융합
P9-PHR-018,phrasebook,here,여기 있어,이곳-테 느-있-닌-온.,이곳테 느있닌온.,이곳=here(이+곳)
P9-PHR-019,phrasebook,there-q,거기 있어?,저곳-테 느-있-닌-언.,저곳테 느있닌언.,저곳=there(저+곳). Y/N.Q
P9-PHR-020,phrasebook,not-there,저기 없어,저곳=복.,저곳복.,EXIST.NEG =복
P9-PHR-021,phrasebook,where-at,어디 있어?,어디-테 느-있-닌-연.,어디테 느있닌연.,WH.Q+LOC
P9-PHR-022,phrasebook,lets-go,같이 가자,우 가-탄 너-온.,우 가탄 너온.,우=1PL.INCL. HORT: 가-탄 너-온
P9-PHR-023,phrasebook,wait,기다려라,기다리-라.,기다리라.,기다리-=wait(신규). IMP
P9-PHR-024,phrasebook,hungry,배고프다,나 느-고프-닌-온.,나 느고프닌온.,고프-=hungry. -닌- 필수
P9-PHR-025,phrasebook,thirsty,목마르다,나 느-마르-닌-온.,나 느마르닌온.,"목마르-→마르-(thirsty,신규 의미확장). -닌-"
P9-PHR-026,phrasebook,water-q,물 있어?,물 느-있-닌-언.,물 느있닌언.,Y/N.Q
P9-PHR-027,phrasebook,water-no,물 없어,물=복.,물복.,EXIST.NEG
P9-PHR-028,phrasebook,eat-q,밥 먹을래?,너-악 밥 느-먹-언.,너악 밥 느먹언.,Y/N.Q. A=ERG
